1	101	1	2
2	202	2	3
3	404	4	4
4	202	2	5
5	996	896	6
6	1992	1792	7
7	3984	3584	8
8	467	367	9
9	934	734	10
10	1868	1468	11
11	790	690	12
12	790	690	13
13	713	613	14
14	1426	1226	15
15	2852	2452	16
16	974	874	17
17	974	874	18
18	222	122	19
19	444	244	20
20	888	488	21
21	666	366	22
22	586	486	23
23	1172	972	24
24	1172	972	25
25	923	823	26
26	923	823	27
27	563	463	28
28	1126	926	29
29	563	463	30
30	689	589	31
31	1378	1178	32
32	1378	1178	33
33	425	325	34
34	850	650	35
35	1700	1300	36
36	1275	975	37
37	1100	1000	38
38	2200	2000	39
39	4400	4000	40
40	876	776	41
41	1752	1552	42
42	2628	2328	43
43	223	123	44
44	456	356	45
45	405	305	46
46	810	610	47
47	1620	1220	48
48	405	305	49
49	147	47	50
50	294	94	51
51	588	188	52
52	745	645	2
53	1490	1290	3
54	2980	2580	4
55	1490	1290	5
56	239	139	6
57	347	247	7
58	694	494	8
59	1388	988	9
60	1041	741	10
61	311	211	11
62	622	422	12
63	1244	844	13
64	933	633	14
65	200	100	15
66	400	200	16
67	800	400	17
68	200	100	18
69	727	627	19
70	1454	1254	20
71	1454	1254	21
72	860	760	22
73	1720	1520	23
74	876	776	24
75	1752	1552	25
76	3504	3104	26
77	575	475	27
78	1150	950	28
79	2300	1900	29
80	1037	937	30
81	2074	1874	31
82	4148	3748	32
83	1037	937	33
84	201	101	34
85	402	202	35
86	804	404	36
87	402	202	37
88	381	281	38
89	762	562	39
90	1524	1124	40
91	762	562	41
92	851	751	42
93	1702	1502	43
94	3404	3004	44
95	1702	1502	45
96	630	530	46
97	1260	1060	47
98	2520	2120	48
99	340	240	49
100	680	480	50
101	680	480	51
102	348	248	52
103	696	496	2
104	1044	744	3
105	868	768	4
106	131	31	5
107	262	62	6
108	131	31	7
109	713	613	8
110	1426	1226	9
111	2852	2452	10
112	713	613	11
113	981	881	12
114	1962	1762	13
115	1962	1762	14
116	467	367	15
117	934	734	16
118	1868	1468	17
119	467	367	18
120	812	712	19
121	510	410	20
122	1020	820	21
123	2040	1640	22
124	510	410	23
125	257	157	24
126	514	314	25
127	1028	628	26
128	771	471	27
129	924	824	28
130	342	242	29
131	572	472	30
132	1144	944	31
133	1716	1416	32
134	822	722	33
135	1644	1444	34
136	3288	2888	35
137	875	775	36
138	875	775	37
139	471	371	38
140	942	742	39
141	1884	1484	40
142	437	337	41
143	874	674	42
144	437	337	43
145	985	885	44
146	1970	1770	45
147	3940	3540	46
148	1970	1770	47
149	304	204	48
150	608	408	49
151	1216	816	50
152	608	408	51
153	694	594	52
