1	101	1	2
2	202	2	3
3	404	4	4
4	202	2	5
5	996	896	6
6	1992	1792	7
7	3984	3584	8
8	467	367	9
9	934	734	10
10	1868	1468	11
11	790	690	12
12	790	690	13
13	713	613	14
14	1426	1226	15
15	2852	2452	16
16	974	874	17
17	974	874	18
18	222	122	19
19	444	244	20
20	888	488	21
21	666	366	22
22	586	486	23
23	1172	972	24
24	1172	972	25
25	923	823	26
26	923	823	27
27	563	463	28
28	1126	926	29
29	563	463	30
30	689	589	31
31	1378	1178	32
32	1378	1178	33
33	425	325	34
34	850	650	35
35	1700	1300	36
36	1275	975	37
37	1100	1000	38
38	2200	2000	39
39	4400	4000	40
40	876	776	41
41	1752	1552	42
42	2628	2328	43
43	223	123	44
44	456	356	45
45	405	305	46
46	810	610	47
47	1620	1220	48
48	405	305	49
49	147	47	50
50	294	94	51
51	588	188	52
